[[12.149493897727984], [12.030266806440398], [17.756313462806325], [12.494088662975587], [12.149493897727984], [13.607540707487573]]
[[12.494088662975587], [17.756313462806325], [6.81062471545731], [9.250833226726824], [12.494088662975587], [11.577965016991511]]
[[9.250833226726824], [6.81062471545731], [10.710259420849809], [1.6175255415247771], [9.250833226726824], [7.09731072613968]]
[[12.030266806440398], [8.405240105791647], [16.26517445110434], [17.756313462806325], [12.030266806440398], [13.614248706535678]]
[[17.756313462806325], [16.26517445110434], [11.420750509600529], [6.81062471545731], [17.756313462806325], [13.063215784742125]]
[[6.81062471545731], [11.420750509600529], [11.774810764294452], [10.710259420849809], [6.81062471545731], [10.179111352550525]]
[[8.405240105791647], [12.771096613702264], [15.990407395169482], [16.26517445110434], [8.405240105791647], [13.357979641441933]]
[[16.26517445110434], [15.990407395169482], [16.972007838642664], [11.420750509600529], [16.26517445110434], [15.162085048629253]]
[[11.420750509600529], [16.972007838642664], [13.027564827567556], [11.774810764294452], [11.420750509600529], [13.2987834850263]]
----------[[8.526817518791947], [8.575749638059929], [9.43006579540789], [8.365815659984854], [8.526817518791947], [8.724612153061155]]
[[8.365815659984854], [9.43006579540789], [10.060141044229246], [8.824835901237531], [8.365815659984854], [9.17021460021488]]
[[8.824835901237531], [10.060141044229246], [9.104984453482349], [12.848988718632654], [8.824835901237531], [10.209737529395444]]
[[8.575749638059929], [-0.8570826412401744], [-6.0072269788349235], [9.43006579540789], [8.575749638059929], [2.78537645334818]]
[[9.43006579540789], [-6.0072269788349235], [18.062392472186247], [10.060141044229246], [9.43006579540789], [7.886343083247114]]
[[10.060141044229246], [18.062392472186247], [8.788607749231094], [9.104984453482349], [10.060141044229246], [11.504031429782234]]
[[-0.8570826412401744], [1.250285346933485], [3.554634349390726], [-6.0072269788349235], [-0.8570826412401744], [-0.5148474809377217]]
[[-6.0072269788349235], [3.554634349390726], [11.615580592560496], [18.062392472186247], [-6.0072269788349235], [6.806345108825637]]
[[18.062392472186247], [11.615580592560496], [14.190872493362926], [8.788607749231094], [18.062392472186247], [13.16436332683519]]
