[[7.677662394429451], [8.060929154333543], [10.580010276808299], [8.56803927940637], [7.677662394429451], [8.721660276244416]]
[[8.56803927940637], [10.580010276808299], [6.578854247940577], [4.982386849152559], [8.56803927940637], [7.677322663326951]]
[[4.982386849152559], [6.578854247940577], [6.6571906044950175], [2.5943573865116676], [4.982386849152559], [5.203197272024955]]
[[8.060929154333543], [9.217483189145858], [12.669778353278193], [10.580010276808299], [8.060929154333543], [10.132050243391474]]
[[10.580010276808299], [12.669778353278193], [10.232372357731466], [6.578854247940577], [10.580010276808299], [10.015253808939633]]
[[6.578854247940577], [10.232372357731466], [8.830770604282097], [6.6571906044950175], [6.578854247940577], [8.074796953612289]]
[[9.217483189145858], [12.377898530896237], [13.061777807494893], [12.669778353278193], [9.217483189145858], [11.831734470203795]]
[[12.669778353278193], [13.061777807494893], [12.947024717729477], [10.232372357731466], [12.669778353278193], [12.227738309058507]]
[[10.232372357731466], [12.947024717729477], [12.295304513845188], [8.830770604282097], [10.232372357731466], [11.076368048397057]]
----------[[6.871672322780707], [6.430364962465992], [8.329866894517219], [7.736919568128451], [6.871672322780707], [7.342205936973093]]
[[7.736919568128451], [8.329866894517219], [9.675256573392279], [8.69153371358686], [7.736919568128451], [8.608394187406201]]
[[8.69153371358686], [9.675256573392279], [10.771573668693076], [12.343602921443155], [8.69153371358686], [10.370491719278842]]
[[6.430364962465992], [1.4838489275594577], [2.242375107662293], [8.329866894517219], [6.430364962465992], [4.62161397305124]]
[[8.329866894517219], [2.242375107662293], [10.76914915659744], [9.675256573392279], [8.329866894517219], [7.754161933042307]]
[[9.675256573392279], [10.76914915659744], [10.795690670013952], [10.771573668693076], [9.675256573392279], [10.502917517174186]]
[[1.4838489275594577], [2.5505222511266377], [5.6234074874315025], [2.242375107662293], [1.4838489275594577], [2.9750384434449724]]
[[2.242375107662293], [5.6234074874315025], [9.339699217091098], [10.76914915659744], [2.242375107662293], [6.993657742195583]]
[[10.76914915659744], [9.339699217091098], [12.339341797737736], [10.795690670013952], [10.76914915659744], [10.810970210360058]]
