x_sm = 0.21742664516476604, y_sm = 0.031054928584773094, i = 0, j = 1
x_sm = -0.15651864949190483, y_sm = 0.1540800667777655, i = 0, j = 1
x_sm = -0.2069423579203612, y_sm = 0.07357727309007563, i = 0, j = 1
x_sm = 0.07946280980510635, y_sm = -0.20475452736115002, i = 0, j = 1
x_sm = 0.20743329168208618, y_sm = -0.07218160512862672, i = 0, j = 1
x_sm = -0.11414956491010947, y_sm = 0.18763963186875832, i = 0, j = 1
x_sm = 0.05332439628784011, y_sm = -0.21306164220137752, i = 0, j = 1
x_sm = 0.19990470617388012, y_sm = -0.09097726675683927, i = 0, j = 1
x_sm = 0.07122353696531603, y_sm = 0.2077641990314036, i = 0, j = 1
x_sm = -0.10382339171417752, y_sm = -0.01586005033675799, i = 0, j = 2
x_sm = -0.1050212230794223, y_sm = -0.0011749751581470245, i = 0, j = 2
x_sm = -0.10439565976577533, y_sm = 0.01150582833995546, i = 0, j = 2
x_sm = -0.04939216054010616, y_sm = -0.0926890087383635, i = 0, j = 2
x_sm = -0.09960833854999578, y_sm = -0.03330190317428523, i = 0, j = 2
x_sm = -0.09991080683828303, y_sm = 0.032383152110987315, i = 0, j = 2
x_sm = -0.031103567001392208, y_sm = -0.10031652896462252, i = 0, j = 2
x_sm = -0.052940215924946195, y_sm = -0.09070926855366059, i = 0, j = 2
x_sm = -0.06971840318715104, y_sm = 0.07855050681411223, i = 0, j = 2
x_sm = 0.15561591590916005, y_sm = 0.03441274890528297, i = 0, j = 3
x_sm = -0.13217355400647152, y_sm = 0.08905449002022967, i = 0, j = 3
x_sm = -0.15061600225232097, y_sm = 0.05210921643043267, i = 0, j = 3
x_sm = 0.04756954254438228, y_sm = -0.1521107793471029, i = 0, j = 3
x_sm = 0.14668996272915533, y_sm = -0.062310556136050084, i = 0, j = 3
x_sm = -0.0931052911987545, y_sm = 0.12935205959805957, i = 0, j = 3
x_sm = 0.03257027594253023, y_sm = -0.15601194728767495, i = 0, j = 3
x_sm = 0.1430500131675371, y_sm = -0.07026552713978805, i = 0, j = 3
x_sm = 0.04175414913842306, y_sm = 0.1538087825879626, i = 0, j = 3
x_sm = 0.12663101583223246, y_sm = 0.03168042558570578, i = 1, j = 0
x_sm = -0.11341613070196394, y_sm = 0.06462077709676346, i = 1, j = 0
x_sm = -0.12374868471082275, y_sm = 0.04153705054931003, i = 1, j = 0
x_sm = 0.03439873474899299, y_sm = -0.12591977836568397, i = 1, j = 0
x_sm = 0.11567303580421087, y_sm = -0.060488117211831796, i = 1, j = 0
x_sm = -0.08036854019712128, y_sm = 0.10285893875875958, i = 1, j = 0
x_sm = 0.02399283411787208, y_sm = -0.12830981040819453, i = 1, j = 0
x_sm = 0.11563605225958531, y_sm = -0.060558789236683105, i = 1, j = 0
x_sm = 0.030164395851974297, y_sm = 0.12700068015124938, i = 1, j = 0
x_sm = -0.12980483649961536, y_sm = -0.015562556439258569, i = 1, j = 1
x_sm = -0.13067432208191573, y_sm = 0.003963620825549407, i = 1, j = 1
